C:\Users\user\Desktop\COVID>python train.py --batch-size 12 --epochs 30 
Train : 0 [0/1000 (0%)] Loss: 17.100412
Train : 0 [120/1000 (12%)]      Loss: 5.181069
Train : 0 [240/1000 (24%)]      Loss: 2.626431
Train : 0 [360/1000 (36%)]      Loss: 1.274942
Train : 0 [480/1000 (48%)]      Loss: 0.645455
Train : 0 [600/1000 (60%)]      Loss: 0.229595
Train : 0 [720/1000 (71%)]      Loss: 0.644449
Train : 0 [840/1000 (83%)]      Loss: 0.512066
Train : 0 [960/1000 (95%)]      Loss: 0.659301
Train : 1 [0/1000 (0%)] Loss: 0.537321
Train : 1 [120/1000 (12%)]      Loss: 0.973995
Train : 1 [240/1000 (24%)]      Loss: 0.440846
Train : 1 [360/1000 (36%)]      Loss: 0.536333
Train : 1 [480/1000 (48%)]      Loss: 0.080934
Train : 1 [600/1000 (60%)]      Loss: 0.399835
Train : 1 [720/1000 (71%)]      Loss: 0.661382
Train : 1 [840/1000 (83%)]      Loss: 0.194237
Train : 1 [960/1000 (95%)]      Loss: 0.319113
Train : 2 [0/1000 (0%)] Loss: 0.159542
Train : 2 [120/1000 (12%)]      Loss: 0.182413
Train : 2 [240/1000 (24%)]      Loss: 0.375509
Train : 2 [360/1000 (36%)]      Loss: 0.125972
Train : 2 [480/1000 (48%)]      Loss: 0.638053
Train : 2 [600/1000 (60%)]      Loss: 0.041869
Train : 2 [720/1000 (71%)]      Loss: 0.074568
Train : 2 [840/1000 (83%)]      Loss: 0.472045
Train : 2 [960/1000 (95%)]      Loss: 0.282063
Train : 3 [0/1000 (0%)] Loss: 0.163527
Train : 3 [120/1000 (12%)]      Loss: 0.303882
Train : 3 [240/1000 (24%)]      Loss: 0.312391
Train : 3 [360/1000 (36%)]      Loss: 0.353648
Train : 3 [480/1000 (48%)]      Loss: 0.078842
Train : 3 [600/1000 (60%)]      Loss: 0.124124
Train : 3 [720/1000 (71%)]      Loss: 0.047726
Train : 3 [840/1000 (83%)]      Loss: 0.315198
Train : 3 [960/1000 (95%)]      Loss: 0.176590
Train : 4 [0/1000 (0%)] Loss: 0.131596
Train : 4 [120/1000 (12%)]      Loss: 0.033358
Train : 4 [240/1000 (24%)]      Loss: 0.174725
Train : 4 [360/1000 (36%)]      Loss: 0.097911
Train : 4 [480/1000 (48%)]      Loss: 0.261145
Train : 4 [600/1000 (60%)]      Loss: 0.051340
Train : 4 [720/1000 (71%)]      Loss: 0.067321
Train : 4 [840/1000 (83%)]      Loss: 0.008308
Train : 4 [960/1000 (95%)]      Loss: 0.090601
Train : 5 [0/1000 (0%)] Loss: 0.123695
Train : 5 [120/1000 (12%)]      Loss: 0.001637
Train : 5 [240/1000 (24%)]      Loss: 0.097539
Train : 5 [360/1000 (36%)]      Loss: 0.011742
Train : 5 [480/1000 (48%)]      Loss: 0.056161
Train : 5 [600/1000 (60%)]      Loss: 0.008721
Train : 5 [720/1000 (71%)]      Loss: 0.438020
Train : 5 [840/1000 (83%)]      Loss: 0.139244
Train : 5 [960/1000 (95%)]      Loss: 0.018411
Train : 6 [0/1000 (0%)] Loss: 0.002889
Train : 6 [120/1000 (12%)]      Loss: 0.020759
Train : 6 [240/1000 (24%)]      Loss: 0.008876
Train : 6 [360/1000 (36%)]      Loss: 0.002358
Train : 6 [480/1000 (48%)]      Loss: 0.566452
Train : 6 [600/1000 (60%)]      Loss: 0.025597
Train : 6 [720/1000 (71%)]      Loss: 0.014975
Train : 6 [840/1000 (83%)]      Loss: 0.051171
Train : 6 [960/1000 (95%)]      Loss: 0.008568
Train : 7 [0/1000 (0%)] Loss: 0.023583
Train : 7 [120/1000 (12%)]      Loss: 0.000496
Train : 7 [240/1000 (24%)]      Loss: 0.063224
Train : 7 [360/1000 (36%)]      Loss: 0.000584
Train : 7 [480/1000 (48%)]      Loss: 0.043012
Train : 7 [600/1000 (60%)]      Loss: 0.063175
Train : 7 [720/1000 (71%)]      Loss: 0.005828
Train : 7 [840/1000 (83%)]      Loss: 0.016640
Train : 7 [960/1000 (95%)]      Loss: 0.000061
Train : 8 [0/1000 (0%)] Loss: 0.006055
Train : 8 [120/1000 (12%)]      Loss: 0.000895
Train : 8 [240/1000 (24%)]      Loss: 0.000357
Train : 8 [360/1000 (36%)]      Loss: 0.003396
Train : 8 [480/1000 (48%)]      Loss: 0.060736
Train : 8 [600/1000 (60%)]      Loss: 0.002265
Train : 8 [720/1000 (71%)]      Loss: 0.000272
Train : 8 [840/1000 (83%)]      Loss: 0.000402
Train : 8 [960/1000 (95%)]      Loss: 0.000016
Train : 9 [0/1000 (0%)] Loss: 0.001882
Train : 9 [120/1000 (12%)]      Loss: 0.000079
Train : 9 [240/1000 (24%)]      Loss: 0.003798
Train : 9 [360/1000 (36%)]      Loss: 0.001001
Train : 9 [480/1000 (48%)]      Loss: 0.010973
